num,with,without,Timestamp
0,"The monkey is climbing on the misty mountains, visible from a distant wide shot or long shot, casting a pale, elongated shadow through the mist, stretching towards the base of the mountains.","Misty mountains, visible from a distant wide shot or long shot.",2025-08-18 21:25:35
1,"A bird soars across the vast sunflower field, casting a long, narrow shadow that stretches diagonally across the golden expanse of the field, trailing its flight path like a fleeting silhouette.","On the vast sunflower field, with a wide shot perspective, the golden expanse stretches diagonally.",2025-08-18 21:27:13
2,"The panda is standing at the firework festival by the river, casting a long, dim shadow on the wet ground near the riverbank, from a distant wide shot.","Firework festival by the river, from a distant wide shot.",2025-08-18 21:29:36
3,"The tiger is standing at the edge of the tea house's garden, gazing toward the distant horizon, casting a long, dim shadow on the gravel path, stretching from its body toward the tea house's entrance, under the bright daylight with soft, dappled illumination filtering through the trees.","Tea house with a traditional tiled roof, surrounded by a well-kept garden, under bright daylight with soft, dappled illumination filtering through the trees.",2025-08-18 21:32:23
4,"The frog is hopping on the rolling green hills, casting a long, jagged shadow that stretches across the undulating grass, from a distant wide shot or long shot.",On the rolling green hills.,2025-08-18 21:39:40
5,"The elephant is standing on the rooftop garden, from a distant viewpoint in a wide shot, casting a long, elongated shadow on the smooth concrete, stretching toward the edge of the garden and merging with the adjacent greenery.","On the rooftop garden, from a distant viewpoint in a wide shot.",2025-08-18 21:42:42
6,"The elephant is walking through the burning forest, casting a long, distorted shadow that stretches across the charred ground as the flames flicker in the distance, captured in a wide shot.","Burning forest with flames flickering in the distance and charred ground, captured in a wide shot.",2025-08-18 21:47:01
7,"A boy is standing in the sunlit conservatory, from a distant vantage point, casting a long, diffused shadow on the polished marble floor that stretches toward the eastern wall, illuminated by the sunlight filtering through the large windows.","Sunlit conservatory",2025-08-18 21:53:04
8,"A young lady stands on the floating island in the clouds, from a distant wide shot, casting a long, diffused shadow across the ground below, stretching and blurring as the sunlight filters through the cloud cover.","Floating island in the clouds, from a distant wide shot.",2025-08-18 21:59:10
9,"The pig is standing still in the modern minimalist kitchen, from distant wide shot, casting a long, oval shadow on the polished floor that stretches toward the window.","Modern minimalist kitchen, from distant wide shot.",2025-08-18 22:02:40
